"entering_grade_level","district","birth_month","olsat_verbal_score","olsat_verbal_percentile","nnat_non_verbal_raw_score","nnat_non_verbal_percentile","overall_score","school_assigned","date","first_choice","remaining_choices","testprep","enrollment"
"kindergarten",25,"May",NA,97,36,98,98,"PS 32 Q",2017-04-10,"Anderson","none",NA,"Yes"
"kindergarten",28,"August",13,55,27,90,76,NA,2017-04-10,"none","none",NA,""
"kindergarten",3,"August",29,99,37,99,99,NA,2017-04-10,"Anderson","none",NA,"Yes"
"kindergarten",2,"July",18,83,38,99,95,NA,2017-04-11,"none","none",NA,"Unsure"
"kindergarten",3,"December",23,98,40,99,99,NA,2017-04-11,"Anderson","Tag Young, Nest+M",NA,"Yes"
"kindergarten",28,"November",18,88,45,90,96,NA,2017-04-12,"TBD","none",NA,"Unsure"
"kindergarten",26,"July",22,86,41,99,96,NA,2017-04-12,"none","none",NA,"Yes"
"kindergarten",3,"April",23,96,39,99,98,NA,2017-04-13,"none","none",NA,""
"kindergarten",32,"March",NA,79,36,99,94,NA,2017-04-13,"none","none",NA,""
"first",2,"January",24,86,42,99,0,NA,2017-04-13,"none","none",NA,"Yes"
"kindergarten",2,"October",26,99,35,99,99,NA,2017-04-13,"none","none",NA,""
"kindergarten",32,"February",26,99,40,99,99,"n/a",2017-04-13,"Nest","none",NA,"No"
"first",3,"December",27,99,43,99,99,NA,2017-04-16,"none","none",NA,"Yes"
"first",2,"January",28,96,46,99,98,NA,1899-12-30,"none","none",NA,""
"kindergarten",26,"March",24,96,44,99,98,NA,2017-04-17,"PS188","none",NA,"Yes"
"first",21,"December",29,99,45,99,99,NA,2017-04-17,"BSI","none",NA,""
"kindergarten",2,"September",28,99,42,99,99,NA,2017-04-17,"none","none",NA,""
"first",2,"March",29,99,44,99,99,"Anderson",2017-04-18,"none","none",NA,"No"
"kindergarten",24,"February",20,87,33,93,90,NA,2017-04-19,"none","none",NA,"Unsure"
"second",15,"December",28,99,NA,99,99,NA,2017-04-20,"NEST+M","none",NA,""
"kindergarten",21,"March",25,98,40,99,99,NA,2017-04-20,"Nest+m"," BSI",NA,"Unsure"
"kindergarten",26,"January",24,99,45,99,98,NA,2017-04-21,"none","none",NA,""
"kindergarten",3,"April",24,97,40,99,99,NA,2017-04-21,"none","none",NA,""
"kindergarten",2,"July",24,97,34,98,98,NA,2017-04-24,"NEST","LL, Anderson, TAG, 130,11,124,33",NA,""
"kindergarten",28,"February",23,95,37,98,97,NA,2017-04-24,"Nest+m"," PS144, PS174",NA,"Yes"
"kindergarten",28,"July",27,99,38,99,99,NA,2017-04-24,"none","none",NA,""
"kindergarten",17,"October",22,96,34,99,98,NA,2017-04-24,"none","none",NA,""
